sample_id,extractor_name,version,file,line,symbol,extracted_fact,raw_context,reviewer1_label,reviewer2_label,adjudicated_label,error_category,notes
c_functions-045,c_functions,v6.18,.binddrift/worktrees/v6.18/include/linux/security.h,643,security_binder_transaction,"{""c_symbol"": ""security_binder_transaction"", ""definition_file"": "".binddrift/worktrees/v6.18/include/linux/security.h"", ""header_file"": "".binddrift/worktrees/v6.18/include/linux/security.h"", ""line"": 643, ""params"": ""[\""const struct cred *from\"", \""const struct cred *to\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.18""}","[""const struct cred *from"", ""const struct cred *to""]",,,,,
c_functions-046,c_functions,HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/include/linux/mm.h,3558,pud_alloc,"{""c_symbol"": ""pud_alloc"", ""definition_file"": "".binddrift/worktrees/HEAD_9207d47f966b/include/linux/mm.h"", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/include/linux/mm.h"", ""line"": 3558, ""params"": ""[\""struct mm_struct *mm\"", \""p4d_t *p4d\"", \""unsigned long address\""]"", ""return_type"": ""static inline pud_t *"", ""version_id"": ""HEAD_9207d47f966b""}","[""struct mm_struct *mm"", ""p4d_t *p4d"", ""unsigned long address""]",,,,,
c_functions-047,c_functions,v6.14,.binddrift/worktrees/v6.14/include/linux/phy.h,1593,__phy_set_bits_mmd,"{""c_symbol"": ""__phy_set_bits_mmd"", ""definition_file"": "".binddrift/worktrees/v6.14/include/linux/phy.h"", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/phy.h"", ""line"": 1593, ""params"": ""[\""struct phy_device *phydev\"", \""int devad\"", \""u32 regnum\"", \""u16 val\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.14""}","[""struct phy_device *phydev"", ""int devad"", ""u32 regnum"", ""u16 val""]",,,,,
c_functions-048,c_functions,v6.8,.binddrift/worktrees/v6.8/include/linux/slab.h,250,kmem_dump_obj,"{""c_symbol"": ""kmem_dump_obj"", ""definition_file"": "".binddrift/worktrees/v6.8/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.8/include/linux/slab.h"", ""line"": 250, ""params"": ""[\""void *object\""]"", ""return_type"": ""static inline bool"", ""version_id"": ""v6.8""}","[""void *object""]",,,,,
c_functions-049,c_functions,v6.13,.binddrift/worktrees/v6.13/include/linux/security.h,716,security_bprm_creds_from_file,"{""c_symbol"": ""security_bprm_creds_from_file"", ""definition_file"": "".binddrift/worktrees/v6.13/include/linux/security.h"", ""header_file"": "".binddrift/worktrees/v6.13/include/linux/security.h"", ""line"": 716, ""params"": ""[\""struct linux_binprm *bprm\"", \""const struct file *file\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.13""}","[""struct linux_binprm *bprm"", ""const struct file *file""]",,,,,
c_functions-050,c_functions,v6.5,.binddrift/worktrees/v6.5/include/linux/wait.h,1193,prepare_to_wait,"{""c_symbol"": ""prepare_to_wait"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.5/include/linux/wait.h"", ""line"": 1193, ""params"": ""[\""struct wait_queue_head *wq_head\"", \""struct wait_queue_entry *wq_entry\"", \""int state\""]"", ""return_type"": ""void"", ""version_id"": ""v6.5""}","[""struct wait_queue_head *wq_head"", ""struct wait_queue_entry *wq_entry"", ""int state""]",,,,,
c_functions-051,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/acpi.h,1561,find_acpi_cpu_topology_hetero_id,"{""c_symbol"": ""find_acpi_cpu_topology_hetero_id"", ""definition_file"": "".binddrift/worktrees/v6.17/include/linux/acpi.h"", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/acpi.h"", ""line"": 1561, ""params"": ""[\""unsigned int cpu\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.17""}","[""unsigned int cpu""]",,,,,
c_functions-052,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/pci.h,1261,pci_generic_config_read,"{""c_symbol"": ""pci_generic_config_read"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/pci.h"", ""line"": 1261, ""params"": ""[\""struct pci_bus *bus\"", \""unsigned int devfn\"", \""int where\"", \""int size\"", \""u32 *val\""]"", ""return_type"": ""int"", ""version_id"": ""v6.17""}","[""struct pci_bus *bus"", ""unsigned int devfn"", ""int where"", ""int size"", ""u32 *val""]",,,,,
c_functions-053,c_functions,v6.19,.binddrift/worktrees/v6.19/include/linux/pm_opp.h,252,dev_pm_opp_get_supplies,"{""c_symbol"": ""dev_pm_opp_get_supplies"", ""definition_file"": "".binddrift/worktrees/v6.19/include/linux/pm_opp.h"", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/pm_opp.h"", ""line"": 252, ""params"": ""[\""struct dev_pm_opp *opp\"", \""struct dev_pm_opp_supply *supplies\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.19""}","[""struct dev_pm_opp *opp"", ""struct dev_pm_opp_supply *supplies""]",,,,,
c_functions-054,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/property.h,236,device_get_child_node_count,"{""c_symbol"": ""device_get_child_node_count"", ""definition_file"": "".binddrift/worktrees/v7.0/include/linux/property.h"", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/property.h"", ""line"": 236, ""params"": ""[\""const struct device *dev\""]"", ""return_type"": ""static inline unsigned int"", ""version_id"": ""v7.0""}","[""const struct device *dev""]",,,,,
